Timestamp,Source,Level,Line
16:53:19.1050,RSSI,Normal,"-66 dBm"
16:53:19.1050,Advertising Interval,Normal,"43.85 ms"
16:53:19.1470,RSSI,Normal,"-77 dBm"
16:53:19.1480,Advertising Interval,Normal,"42.80 ms"
16:53:19.1920,RSSI,Normal,"-73 dBm"
16:53:19.1920,Advertising Interval,Normal,"43.94 ms"
16:53:19.3770,RSSI,Normal,"-75 dBm"
16:53:19.3770,Advertising Interval,Normal,"185.29 ms"
16:53:19.4190,RSSI,Normal,"-69 dBm"
16:53:19.4190,Advertising Interval,Normal,"41.87 ms"
16:53:19.4190,RSSI,Normal,"-70 dBm"
16:53:19.4190,Advertising Interval,Normal,"41.72 ms"
16:53:19.4610,RSSI,Normal,"-64 dBm"
16:53:19.4610,Advertising Interval,Normal,"42.80 ms"
16:53:19.4990,RSSI,Normal,"-75 dBm"
16:53:19.4990,Advertising Interval,Normal,"37.39 ms"
16:53:19.5450,RSSI,Normal,"-70 dBm"
16:53:19.5450,Advertising Interval,Normal,"46.30 ms"
16:53:19.5930,RSSI,Normal,"-65 dBm"
16:53:19.5930,Advertising Interval,Normal,"48.13 ms"
16:53:19.6870,RSSI,Normal,"-64 dBm"
16:53:19.6870,Advertising Interval,Normal,"93.83 ms"
16:53:19.7240,RSSI,Normal,"-76 dBm"
16:53:19.7240,Advertising Interval,Normal,"37.27 ms"
16:53:19.7730,RSSI,Normal,"-69 dBm"
16:53:19.7730,Advertising Interval,Normal,"48.13 ms"
16:53:19.8120,RSSI,Normal,"-67 dBm"
16:53:19.8120,Advertising Interval,Normal,"39.56 ms"
16:53:19.8590,RSSI,Normal,"-75 dBm"
16:53:19.8590,Advertising Interval,Normal,"41.96 ms"
16:53:19.8590,RSSI,Normal,"-75 dBm"
16:53:19.8590,Advertising Interval,Normal,"42.21 ms"
16:53:19.9000,RSSI,Normal,"-70 dBm"
16:53:19.9000,Advertising Interval,Normal,"46.03 ms"
16:53:19.9510,RSSI,Normal,"-65 dBm"
16:53:19.9510,Advertising Interval,Normal,"50.86 ms"
16:53:19.9880,RSSI,Normal,"-76 dBm"
16:53:19.9880,Advertising Interval,Normal,"36.46 ms"
16:53:20.0320,RSSI,Normal,"-71 dBm"
16:53:20.0320,Advertising Interval,Normal,"44.70 ms"
16:53:20.0790,RSSI,Normal,"-66 dBm"
16:53:20.0790,Advertising Interval,Normal,"46.36 ms"
16:53:20.1170,RSSI,Normal,"-80 dBm"
16:53:20.1170,Advertising Interval,Normal,"38.17 ms"
16:53:20.2070,RSSI,Normal,"-79 dBm"
16:53:20.2070,Advertising Interval,Normal,"90.24 ms"
16:53:20.2570,RSSI,Normal,"-69 dBm"
16:53:20.2570,Advertising Interval,Normal,"50.05 ms"
16:53:20.3050,RSSI,Normal,"-71 dBm"
16:53:20.3050,Advertising Interval,Normal,"47.77 ms"
16:53:20.3510,RSSI,Normal,"-77 dBm"
16:53:20.3510,Advertising Interval,Normal,"45.81 ms"
16:53:20.3940,RSSI,Normal,"-69 dBm"
